What country do you live in currently?,What industry do you work in?,Other,"In the following list, what best describes the work you do?",Other,What level are you in your role?,How long have you worked remotely?,What percentage of the time do you work remotely?,Which of the following statements best describes you:,"Would you like to work remotely, at least some of the time, for the rest of your career?",Do you encourage others to work remotely? (This can be anyone in your life from coworkers to friends and family.),What’s your biggest struggle with working remotely?,Other,What’s the biggest benefit you see to working remotely?,Other,How much vacation did you take in the past year?,How much vacation time does your company offer each year?,What location do you primarily work from?,Other,What is the second most common location that you work from?,Other,"How often do you travel outside of your home city and work at the same time? (This includes work retreats, conferences, and any time you’re working in a different city.) ",Which description best suits you?,Did you always intend to support remote work?,What is your company's stance on remote work?,How many full-time employees does your company have?,What percentage of your company works remotely?,Does your company pay for your home internet?,Does your company cover the cost of a coworking membership?,Does your company cover the cost of drinks/food at coffee shops?,Are there any other costs of working remotely that your company covers?,"If you work from coffee shops, how much do you spend at coffee shops per week? (in USD)","If you work from coworking spaces, how much do you spend for yourself on coworking spaces per month? (in USD)",How much do you earn per year in USD? (We are not gathering your name or email address so this information will not be able to be used to identify you.),What has surprised you most about working remotely?,Anything else you want to add that we didn’t ask about?
United States,IT and Services,,Engineering,,Professional level,Less than six months,1 to 25%,I would like to work remotely more often.,1,1,Collaborating and/or communication,,The flexibility to work from any location,,1 week,None,Home,,Not applicable,,Infrequently (Less than a week per year),Employee,,At my company we can work from home as needed,"More than 1,001",1 to 25%,No,No,No,desk and furniture,Between $1 and $5,,"$50,001 to $75,000",how quiet house is,
France,IT and Services,,Design,,Professional level,Less than six months,1 to 25%,I would like to work remotely more often.,1,1,Distractions at home,,Ability to work from home,,3 weeks,5 weeks,Home,,Coworking spaces,,Infrequently (Less than a week per year),Employee,,At my company we can work from home as needed,51 to 100,26 to 50%,No,Partially,No,For fullremote : travel and hotel to the HQ,,Between $101 and $200,"$25,001 to $50,000",,
France,Software,,Product,,Senior level,1 year to 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to have a flexible schedule,,3 weeks,5 weeks,Home,,Coworking spaces,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,51 to 100,1 to 25%,No,Yes,No,traveling to office,,,"$50,001 to $75,000",,
Ireland {Republic},IT and Services,,Human Resources,,Professional level,1 year to 4 years,26 to 50%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to work from home,,4 weeks,4 weeks,Home,,Coffee shops and cafes,,Frequently (Between one and six months per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,101 to 500,76 to 99%,No,No,No,Equipment,Between $11 and $20,,"$25,001 to $50,000",How focused the work is,
Czech Republic,IT and Services,,Engineering,,Professional level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Collaborating and/or communication,,Ability to have a flexible schedule,,6 weeks,5 weeks,,Own office,Home,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,Between $20 and $30,Between $201 and $300,"$75,001 to $100,000",that I don't miss other people,
United States,Software,,Customer Support,,Professional level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Taking vacation time,,The flexibility to work from any location,,2 weeks,4 weeks,Home,,Coffee shops and cafes,,Infrequently (Less than a week per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,101 to 500,51 to 75%,No,No,No,Equipment and software,Between $5 and $10,Between $1 and $100,"$50,001 to $75,000",How motivated I am to work,
United States,,Construction,Leadership,,Executive level,1 year to 4 years,26 to 50%,I would like to work remotely more often.,1,1,Collaborating and/or communication,,,productivity due to lack of interruptions,1 week,None,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Business owner,1,I am a solo business or freelancer and work remotely,Fewer than 10,1 to 25%,No,No,Partially,no,Between $11 and $20,,"$150,001 to $200,000",how much more productive I am,
Mexico,Software,,,Customer Success,Management level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Collaborating and/or communication,,The flexibility to work from any location,,4 weeks,4 weeks,Home,,Coffee shops and cafes,,Frequently (Between one and six months per year),Employee,,At my company we can work from home as needed,11 to 50,76 to 99%,No,Yes,No,Communication sofware and international calls,Between $11 and $20,Between $1 and $100,"$25,001 to $50,000","I was pleasently surprised that my company made me feel trusted and supported since day 1. Where I'm from, it is required for you to spend 8 hours in an office to ""prove"" you're working.
Since being remote, I was able to find that my productivity and creativity are not directly linked to an office space, like I was ""trained"" to be all my professional life. 
I know myself well enough to dedicate my best work when I'm at my highest mental capacity. My results speak for themselves and my employers care about that and my growth than how many hours I spent at the co-working space.",
Germany,Software,,Customer Support,,Professional level,1 year to 4 years,100%,I would like to work remotely more often.,1,1,Unplugging after work,,Ability to have a flexible schedule,,2 weeks,5 weeks,Home,,Coffee shops and cafes,,Infrequently (Less than a week per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,101 to 500,26 to 50%,No,No,No,Expenses like calls with customers,Between $1 and $5,,"$75,001 to $100,000",That it is sometimes hard to plug off the notebook to get some rest or doing hobbies,
United States,E-commerce,,Customer Support,,,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,The flexibility to work from any location,,1 week,Unlimited,Home,,Coffee shops and cafes,,Frequently (Between one and six months per year),Employee,,Everyone at my company works remotely,51 to 100,100%,No,No,No,No,Between $11 and $20,,"$50,001 to $75,000",The ability to easily be connected to my coworkers,
United States,Software,,Engineering,,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Being in a different timezone than teammates,,Ability to spend time with family,,4 weeks,6 weeks,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,51 to 100,100%,No,No,No,Equipment,Between $1 and $5,,"$100,000 to $125,000",,
United Kingdom,IT and Services,,Operations,,Senior level,Less than six months,1 to 25%,I would like to work remotely more often.,1,1,Distractions at home,,The flexibility to work from any location,,4 weeks,None,Home,,Coffee shops and cafes,,Infrequently (Less than a week per year),Freelancer / Self-employed,,,,,,,,,Between $11 and $20,Between $1 and $100,"$100,000 to $125,000",How little difference It makes to productivity,Really hard to get remote working jobs in devops inLondon.
Mexico,Software,,Sales,,Management level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Finding reliable wifi,,Ability to spend time with family,,4 weeks,4 weeks,Coffee shops and cafes,,Home,,Infrequently (Less than a week per year),Freelancer / Self-employed,,,,,,,,,Between $11 and $20,,"up to $25,000",team work,
South Africa,IT and Services,,Design,,Professional level,1 year to 4 years,26 to 50%,I am happy with the amount of time I work remotely.,1,1,Finding reliable wifi,,The flexibility to work from any location,,6 weeks,Unlimited,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,Between $1 and $5,,"up to $25,000",How productive I am managing my own priorities. Balancing work and family & social life,
United Kingdom,Marketing,,Design,,Executive level,1 year to 4 years,51 to 75%,I am happy with the amount of time I work remotely.,1,1,Collaborating and/or communication,,Ability to have a flexible schedule,,6 weeks,6 weeks,Coworking spaces,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Business owner,1,Everyone at my company works remotely,Fewer than 10,100%,Partially,Partially,Partially,,Between $11 and $20,Between $101 and $200,"$75,001 to $100,000",,
Ecuador,Travel and Tourism,,Leadership,,Management level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Staying motivated,,The flexibility to work from any location,,More than 6 weeks,Unlimited,Coffee shops and cafes,,Coworking spaces,,Frequently (Between one and six months per year),Freelancer / Self-employed,,,,,,,,,Between $20 and $30,Between $101 and $200,"up to $25,000","Meeting so many other remote workers abroad. In my hometown, I am one of the very few working remotely.","Many Freelancers do not identify with only one job category and frequently shift the type of work they do (based on season, location, or unexpected opportunity). I work in education, travel, tourism, writing, social media...not just one simple category. Seems like a survey for remote workers would (should) have a better way to identify this unique characteristic. "
Ireland {Republic},Software,,Sales,,Management level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to spend time with family,,4 weeks,4 weeks,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,Between $5 and $10,Between $1 and $100,"$75,001 to $100,000","
",
Belgium,Marketing,,Sales,,Management level,1 year to 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,The flexibility to work from any location,,4 weeks,4 weeks,Home,,Coffee shops and cafes,,Very frequently (More than six months of the year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,11 to 50,51 to 75%,No,Yes,No,I WISH,Between $5 and $10,Between $101 and $200,"$25,001 to $50,000",The low pay,
United States,Software,,Marketing and Advertising,,Management level,More than 4 years,100%,I would like to work remotely less often.,1,1,Loneliness,,Ability to have a flexible schedule,,1 week,4 weeks,Home,,Coworking spaces,,Frequently (Between one and six months per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,11 to 50,51 to 75%,Yes,Yes,No,no,Between $5 and $10,Between $101 and $200,"$75,001 to $100,000",That you can't REALLY work from anywhere. I have a ton of video calls and coffee shops are too noisy for the people on the other end.,Support networks or ways to stay connected while working remotely.
United States,Medical and Healthcare,,Operations,,Management level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Collaborating and/or communication,,Ability to have a flexible schedule,,3 weeks,Unlimited,Home,,Coffee shops and cafes,,Infrequently (Less than a week per year),Employee,,Everyone at my company works remotely,51 to 100,76 to 99%,Partially,No,No,,Between $11 and $20,,"$100,000 to $125,000",How much I actually enjoy it - I'm a social person and I don't feel lonely because of working remotely.,"There is this need to constantly remain connected, even off hours and weekends. I feel like that is one element of working remotely that gets overlooked."
United States,Software,,Design,,Professional level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Taking vacation time,,The flexibility to work from any location,,Less than 1 week,Unlimited,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,Between $11 and $20,Between $1 and $100,"$125,001 to $150,000",How much I love it! I don’t get lonely.,
United States,Non-profit,,Leadership,,Executive level,More than 4 years,100%,I would like to work remotely more often.,1,1,Unplugging after work,,Ability to have a flexible schedule,,5 weeks,Unlimited,Home,,Coworking spaces,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,More than $30,Between $101 and $200,"$75,001 to $100,000",The negativity from others who are jeslous.,no
United States,Medical and Healthcare,,Marketing and Advertising,,Professional level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Being in a different timezone than teammates,,Ability to have a flexible schedule,,3 weeks,None,Home,,Coffee shops and cafes,,Never,Employee,,Everyone at my company works remotely,"More than 1,001",76 to 99%,No,No,No,No,Between $5 and $10,,"$75,001 to $100,000",How much I liked being away from coworkers,
United States,Software,,Design,,Executive level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Collaborating and/or communication,,The flexibility to work from any location,,More than 6 weeks,Unlimited,Coffee shops and cafes,,Coworking spaces,,Almost all the time,Business owner,0,Everyone at my company works remotely,Fewer than 10,100%,No,Yes,No,We cover cellphone cost with wifi hotspots.,Between $20 and $30,Between $101 and $200,"$75,001 to $100,000",How hard it is to stay focused on one task. It has taken me a few years now to perfect my own work schedule.,
United States,E-commerce,,Product,,Senior level,More than 4 years,76 to 99%,I would like to work remotely more often.,1,1,Unplugging after work,,The flexibility to work from any location,,2 weeks,3 weeks,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Employee,,At my company we can work remotely a certain number of days per week/month,"501 to 1,000",1 to 25%,No,No,No,None,Between $20 and $30,Between $101 and $200,"$75,001 to $100,000",How much I love it.,No
Romania,IT and Services,,Operations,,Senior level,1 year to 4 years,100%,I would like to work remotely less often.,1,1,Being in a different timezone than teammates,,Ability to spend time with family,,2 weeks,Unlimited,Home,,Not applicable,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,"More than 1,001",1 to 25%,No,No,No,,,,"$125,001 to $150,000",,
Bulgaria,IT and Services,,Leadership,,Senior level,1 year to 4 years,26 to 50%,I would like to work remotely more often.,1,1,Distractions at home,,Ability to have a flexible schedule,,2 weeks,4 weeks,Home,,Coworking spaces,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,Between $11 and $20,Between $101 and $200,"$25,001 to $50,000",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,IT and Services,,Engineering,,Senior level,Less than six months,100%,I am happy with the amount of time I work remotely.,1,0,Unplugging after work,,Ability to work from home,,4 weeks,4 weeks,Home,,Coworking spaces,,Infrequently (Less than a week per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,"More than 1,001",1 to 25%,No,No,No,No,Between $11 and $20,Between $101 and $200,"$125,001 to $150,000",The large amount of side conversations that co-workers have that are working in-office.,"Just a suggestion, the struggle question should allow for ranking or multiple choices."
United States,Software,,Engineering,,Professional level,6 months to 11 months,100%,I am happy with the amount of time I work remotely.,1,1,Collaborating and/or communication,,The flexibility to work from any location,,2 weeks,Unlimited,Home,,Coffee shops and cafes,,Frequently (Between one and six months per year),Employee,,Everyone at my company works remotely,51 to 100,100%,Yes,Partially,Yes,Equipment cost,Between $11 and $20,Between $101 and $200,"$75,001 to $100,000",You work more and get less distracted,
Hungary,IT and Services,,Marketing and Advertising,,Senior level,1 year to 4 years,26 to 50%,I would like to work remotely more often.,1,1,Collaborating and/or communication,,Ability to have a flexible schedule,,1 week,3 weeks,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Employee,,At my company we can work from home as needed,11 to 50,26 to 50%,No,No,No,Mobile data,Between $11 and $20,,"$75,001 to $100,000",,
Spain,IT and Services,,Marketing and Advertising,,Management level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Collaborating and/or communication,,The flexibility to work from any location,,3 weeks,3 weeks,Coworking spaces,,Home,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,51 to 100,1 to 25%,No,Partially,No,,More than $30,Between $1 and $100,"$50,001 to $75,000",,
United States,Consumer products,,Customer Support,,Entry level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Ability to work from home,,3 weeks,3 weeks,Home,,Not applicable,,Never,Employee,,Part of the team is full-time remote and part of the team works out of the same office.,"More than 1,001",26 to 50%,Yes,No,No,"Equipment (phone, iMac, etc)",,,"$25,001 to $50,000","Lack of movement, unable to move up in the company. ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,Marketing,,Marketing and Advertising,,Professional level,1 year to 4 years,100%,I would like to work remotely less often.,1,1,Collaborating and/or communication,,Ability to have a flexible schedule,,4 weeks,4 weeks,Coworking spaces,,Home,,Infrequently (Less than a week per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,101 to 500,1 to 25%,No,No,No,Laptop,Between $11 and $20,Between $201 and $300,"$50,001 to $75,000",the loneliness,"I find it to be much more difficult to be one of the only remote workers on a team of non-remote workers, versus being in a fully distributed team. My company does not have the infrastructure to encourage remote work, so I have to be as flexible as I can to keep up with communications and collaboration! "
Cyprus,Software,,Engineering,,Professional level,Less than six months,100%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,The flexibility to work from any location,,4 weeks,4 weeks,Home,,Coworking spaces,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,11 to 50,26 to 50%,No,No,No,travel & accommodation when traveling back to the office,More than $30,Between $301 and $400,"$50,001 to $75,000",how easy it is to get used to,
Ukraine,Marketing,,Marketing and Advertising,,Entry level,6 months to 11 months,100%,I am happy with the amount of time I work remotely.,1,0,Distractions at home,,Ability to have a flexible schedule,,2 weeks,3 weeks,Home,,Coworking spaces,,Infrequently (Less than a week per year),Freelancer / Self-employed,,,,,,,,,Between $5 and $10,Between $1 and $100,"up to $25,000",People can adjust to everything and acquiring a new habit/behavior is possible and it takes about 1 month,"All good, thanks "
Australia,Media and Publishing,,,Actor,Entry level,6 months to 11 months,1 to 25%,I would like to work remotely more often.,1,1,Distractions at home,,Ability to have a flexible schedule,,None,4 weeks,Home,,,Studio,Never,Employee,,At my company we can work from home as needed,101 to 500,1 to 25%,No,No,No,N/A,Between $1 and $5,Between $1 and $100,"up to $25,000","Once established with a comfortable space and routine, I can be infinitely more productive than at my open-plan office job. ",
Colombia,Media and Publishing,,Marketing and Advertising,,Professional level,Less than six months,1 to 25%,I would like to work remotely more often.,1,1,Collaborating and/or communication,,The flexibility to work from any location,,1 week,4 weeks,Coworking spaces,,Home,,Frequently (Between one and six months per year),Freelancer / Self-employed,,,,,,,,,Between $1 and $5,Between $1 and $100,"up to $25,000",compartir mis experiencias,No
Poland,E-commerce,,Finances,,Senior level,1 year to 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Taking vacation time,,The flexibility to work from any location,,2 weeks,6 weeks,Home,,,Airport,Frequently (Between one and six months per year),Freelancer / Self-employed,,,,,,,,,,,"$50,001 to $75,000",The fAILUREOF EMPLOYERS TO RECOGNISE THE BENEFITS FOR THEM.,
United Kingdom,Marketing,,Marketing and Advertising,,Professional level,1 year to 4 years,100%,I would like to work remotely less often.,1,1,Collaborating and/or communication,,The flexibility to work from any location,,More than 6 weeks,Unlimited,Coffee shops and cafes,,Home,,Very frequently (More than six months of the year),Freelancer / Self-employed,,,,,,,,,Between $5 and $10,,"$25,001 to $50,000",,
Portugal,Software,,Engineering,,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Taking vacation time,,Ability to spend time with family,,1 week,3 weeks,Home,,Not applicable,,Infrequently (Less than a week per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,11 to 50,51 to 75%,No,Yes,No,No,Between $1 and $5,Between $1 and $100,"$50,001 to $75,000",Be more productive than in the office,no
Italy,IT and Services,,Design,,Professional level,6 months to 11 months,51 to 75%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,The flexibility to work from any location,,4 weeks,None,Home,,Libraries,,Infrequently (Less than a week per year),Freelancer / Self-employed,,,,,,,,,Between $11 and $20,Between $101 and $200,"up to $25,000",Flexibility,
United States,IT and Services,,Data,,Entry level,Less than six months,76 to 99%,I would like to work remotely more often.,1,1,Collaborating and/or communication,,The flexibility to work from any location,,1 week,3 weeks,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Employee,,At my company we can work from home as needed,Fewer than 10,76 to 99%,No,No,Yes,,Between $1 and $5,Between $1 and $100,"$50,001 to $75,000",How much more I accomplish with no interruptions.,
Ukraine,IT and Services,,Marketing and Advertising,,Professional level,Less than six months,1 to 25%,I would like to work remotely less often.,1,1,Loneliness,,The flexibility to work from any location,,2 weeks,2 weeks,Coffee shops and cafes,,Coffee shops and cafes,,Frequently (Between one and six months per year),Freelancer / Self-employed,,,,,,,,,Between $5 and $10,Between $201 and $300,"up to $25,000",,
United Kingdom,Education,,Marketing and Advertising,,Executive level,More than 4 years,51 to 75%,I would like to work remotely less often.,1,1,Staying motivated,,Ability to have a flexible schedule,,2 weeks,Unlimited,Home,,Not applicable,,Sometimes (Between one week and one month per year),Business owner,1,Everyone at my company works remotely,Fewer than 10,100%,No,No,No,,,,"$25,001 to $50,000","I found it surprising how quickly you settle into a routine and how quickly that routine can become demotivating if not managed properly. I really need to make sure I know what I'm doing for those tired, dark morning when I don't want to get up and work, otherwise I just waste time trying to figure out what should be happening",
South Africa,Media and Publishing,,Design,,Entry level,Less than six months,51 to 75%,I would like to work remotely more often.,1,1,Distractions at home,,The flexibility to work from any location,,None,None,Home,,Not applicable,,Never,Freelancer / Self-employed,,,,,,,,,Between $5 and $10,Between $1 and $100,"up to $25,000",The ability to travel whenever you want and work without caring about your clothes,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Software,,Engineering,,Professional level,1 year to 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to spend time with family,,4 weeks,4 weeks,Home,,Libraries,,Infrequently (Less than a week per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,11 to 50,26 to 50%,No,No,No,,,,"$25,001 to $50,000",The happiness that gives me not wasting time commuting,
Ireland {Republic},Financial Services,,Data,,Professional level,6 months to 11 months,26 to 50%,I am happy with the amount of time I work remotely.,1,1,Staying motivated,,Ability to have a flexible schedule,,4 weeks,6 weeks,Home,,Not applicable,,Infrequently (Less than a week per year),Employee,,At my company we can work from home as needed,"More than 1,001",26 to 50%,No,Partially,No,,Between $11 and $20,Between $101 and $200,"$75,001 to $100,000",,
Ireland {Republic},Software,,Operations,,Senior level,1 year to 4 years,1 to 25%,I would like to work remotely more often.,1,1,Unplugging after work,,Ability to have a flexible schedule,,Less than 1 week,2 weeks,Home,,Coffee shops and cafes,,Infrequently (Less than a week per year),Freelancer / Self-employed,,,,,,,,,More than $30,Between $101 and $200,"$150,001 to $200,000",How much I enjoy the quiet space to blitz through work.,Employer attitudes to work. I’m currently working on a contract where they don’t support or have no policy on it Peking remotely.
Germany,E-commerce,,Engineering,,Senior level,1 year to 4 years,1 to 25%,I would like to work remotely more often.,1,1,Staying motivated,,Ability to spend time with family,,2 weeks,4 weeks,Home,,,Parents' Home,Sometimes (Between one week and one month per year),Employee,,At my company we can work remotely a certain number of days per week/month,"More than 1,001",51 to 75%,No,No,No,,,,"$75,001 to $100,000",,
Spain,Software,,Customer Support,,Professional level,1 year to 4 years,76 to 99%,I would like to work remotely more often.,1,1,Distractions at home,,The flexibility to work from any location,,5 weeks,5 weeks,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,101 to 500,76 to 99%,Yes,Yes,No,No,Between $11 and $20,Between $1 and $100,"$50,001 to $75,000",Flexibility,No
United States,Marketing,,Marketing and Advertising,,Executive level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,The flexibility to work from any location,,3 weeks,Unlimited,Home,,Coffee shops and cafes,,Frequently (Between one and six months per year),Freelancer / Self-employed,,,,,,,,,Between $1 and $5,Between $1 and $100,"$25,001 to $50,000",How much I love it,
United States,Software,,Engineering,,Professional level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Collaborating and/or communication,,Ability to work from home,,3 weeks,3 weeks,Home,,Coworking spaces,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,51 to 100,1 to 25%,No,Yes,No,,,,"$125,001 to $150,000",,
United States,IT and Services,,Design,,Executive level,Less than six months,76 to 99%,I am happy with the amount of time I work remotely.,1,1,,"finding enough work (freelance), doesn't even come close to income from a salaried position",Ability to work from home,,3 weeks,None,Home,,,"Clients' offices, colleagues' homes",Sometimes (Between one week and one month per year),Business owner,1,I am a solo business or freelancer and work remotely,Just me,100%,Partially,No,No,"My company is me, so whatever is deductible (software, hardware, etc)",,,,"Nothing really. I'm accustomed to it. If anything, how happy it makes me. And how hard it is to find enough sustainable work.","Barriers to remote work - people don't believe in it. They don't take you seriously as a hard worker and don't understand how efficient it can be. Also a happy person is a productive person. I cannot tell you how much cooking my own lunch, talking a walk when I can't concentrate, not packing myself into an overcrowded subway makes me. I'm a better, more thoughtful person to work with! Also, in full-time jobs, there is often a lot of peer pressure to stay late and do useless, ass-kissy activities at the office. None of that bs from home. It's pure delight ;-) BUT... the challenge of finding enough work is real. I earn half what I would at a high-powered full-time on-site job...."
Costa Rica,IT and Services,,Product,,Professional level,More than 4 years,76 to 99%,I would like to work remotely more often.,1,1,Being in a different timezone than teammates,,The flexibility to work from any location,,3 weeks,3 weeks,Home,,,AirBnbs,Frequently (Between one and six months per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,"More than 1,001",26 to 50%,No,No,No,,Between $11 and $20,Between $1 and $100,"$25,001 to $50,000",How much peace of mind it brings.,
Canada,Marketing,,Marketing and Advertising,,Executive level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Finding reliable wifi,,The flexibility to work from any location,,6 weeks,Unlimited,Home,,Coworking spaces,,Frequently (Between one and six months per year),Business owner,1,Everyone at my company works remotely,11 to 50,100%,No,Yes,No,,Between $20 and $30,More than $500,"Over $200,000",,
Canada,Marketing,,Marketing and Advertising,,Management level,6 months to 11 months,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,Ability to spend time with family,,Less than 1 week,3 weeks,Home,,Coworking spaces,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,Between $11 and $20,Between $101 and $200,"$75,001 to $100,000",Productivity,Working as a team
United States,Education,,Engineering,,Professional level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,The flexibility to work from any location,,2 weeks,3 weeks,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,11 to 50,26 to 50%,No,No,No,,Between $1 and $5,,"$75,001 to $100,000",,
United States,IT and Services,,,Development,Senior level,6 months to 11 months,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Collaborating and/or communication,,Ability to have a flexible schedule,,2 weeks,Unlimited,Home,,Not applicable,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,Between $5 and $10,Between $1 and $100,"$100,000 to $125,000",How easily distracted I can be at home.,"Joining a team that is mostly remote workers can be difficult.  Its harder to transfer knowledge, and interact with co-workers."
Canada,Software,,Operations,,Management level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Staying motivated,,Ability to have a flexible schedule,,1 week,3 weeks,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,101 to 500,1 to 25%,No,No,No,Travel/accommodations when coming to the office,Between $1 and $5,Between $1 and $100,"$100,000 to $125,000","That it isn't as hard as I had anticipated to stay ""in the loop"" on things.  ","A strong compliment to working remotely is to connect with with a network of people in your physical region to help you feel connected to the workforce.  It allows for the sense of community, while still having the benefits of a shared space/values.  Co-working and networking events become significantly more valuable as you go remote.  "
United States,Software,,Marketing and Advertising,,Management level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,Ability to have a flexible schedule,,3 weeks,Unlimited,Home,,Coffee shops and cafes,,Frequently (Between one and six months per year),Employee,,Everyone at my company works remotely,"501 to 1,000",100%,No,Yes,Yes,$100 credit card every month for expenses,Between $1 and $5,,"$75,001 to $100,000",,
Ireland {Republic},Software,,Engineering,,Senior level,More than 4 years,51 to 75%,I am happy with the amount of time I work remotely.,1,1,Collaborating and/or communication,,Ability to spend time with family,,4 weeks,5 weeks,Home,,Not applicable,,Sometimes (Between one week and one month per year),Employee,,At my company we can work from home as needed,"More than 1,001",1 to 25%,No,No,No,,,,"$150,001 to $200,000",,
Ireland {Republic},Media and Publishing,,Engineering,,Senior level,1 year to 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,The flexibility to work from any location,,4 weeks,5 weeks,Home,,Coffee shops and cafes,,Frequently (Between one and six months per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,101 to 500,26 to 50%,No,No,No,Home office equipment,Between $5 and $10,,"$75,001 to $100,000",,
United States,Software,,Engineering,,Professional level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,,All of the above,The flexibility to work from any location,,1 week,Unlimited,Home,,,Local college,Frequently (Between one and six months per year),Employee,,Everyone at my company works remotely,Fewer than 10,100%,No,Partially,No,Home office tech,Between $5 and $10,,"$75,001 to $100,000",How lonely it can be,
