Do you work remotely sometimes?,What country do you live in currently?,What industry do you work in?,Other,"In the following list, what best describes the work you do?",Other,What level are you in your role?,How long have you worked remotely?,What percentage of the time do you work remotely?,Which of the following statements best describes you:,"Would you like to work remotely, at least some of the time, for the rest of your career?",Would you recommend remote work to others?,What’s your biggest struggle with working remotely?,Other,What’s the biggest benefit you see to working remotely?,Other,How much vacation did you take in the past year?,How much vacation time does your company offer each year?,What location do you primarily work from?,Other,What is the second most common location that you work from?,Other,"How often do you travel outside of your home city and work at the same time? (This includes work retreats, conferences, and any time you’re working in a different city.) ",Which description best suits you?,Did you always intend to support remote work?,What is your company's stance on remote work?,How many full-time employees does your company have?,What percentage of your company works remotely?,Does your company pay for your home internet?,24. Does your company pay for your cell phone?,Does your company cover the cost of a coworking membership?,Does your company cover the cost of drinks/food at coffee shops?,Are there any other costs of working remotely that your company covers?,"If you work from coffee shops, how much do you spend at coffee shops per week? (in USD)","If you work from coworking spaces, how much do you spend for yourself on coworking spaces per month? (in USD)",How much do you earn per year in USD?,What has surprised you most about working remotely?,Anything else you want to add that we didn’t ask about?
1,Thailand,Non-profit,,,Communications,Professional level,1 year to 4 years,100%,I would like to work remotely less often.,1,1,Difficulties with collaboration and communication,,Not having to commute,,1 week,3 weeks,Home,,Coffee shops,,Very frequently (More than six months of the year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,11 to 50,26 to 50%,Partially,No,No,No,,Between $11 and $20,Not applicable,"$25,001 to $50,000",I need more social time than I expected.,
1,Thailand,IT and Services,,Engineering,,Professional level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Flexibility to work from any location,,1 week,None,Home,,Not applicable,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,Fewer than 10,26 to 50%,No,No,No,No,,Not applicable,Not applicable,"$50,001 to $75,000",Its harder to stay motivated when someone is not watching you,
1,Thailand,Non-profit,,Customer Support,,Entry level,6 months to 11 months,100%,I am happy with the amount of time I work remotely.,1,1,Difficulties with collaboration and communication,,Flexibility to work from any location,,2 weeks,4 weeks,Home,,Coffee shops,,Infrequently (Less than a week per year),Employee,,Everyone at my company works remotely,Fewer than 10,100%,No,No,Partially,No,"Up to $1000 USD to set up a home office (desk, chair, headphones, etc.). 

People who work from a coworking space get up to $500 USD/year for membership/coffee, etc. ",Between $5 and $10,Not applicable,"$50,001 to $75,000",Just that fact that it exists 😂 I love it; I absolutely hated working from an office. Would go mad if I couldn’t work remotely.,
1,Thailand,Software,,Engineering,,Professional level,1 year to 4 years,51 to 75%,I am happy with the amount of time I work remotely.,1,0,Loneliness,,Flexibility to work from any location,,None,None,Home,,Home,,Infrequently (Less than a week per year),Freelancer / Self-employed,,,,,,,,,,Between $1 and $5,Not applicable,"$50,001 to $75,000",Nothing,No.
1,Thailand,Marketing,,Operations,,Executive level,6 months to 11 months,76 to 99%,I would like to work remotely more often.,1,1,Staying motivated,,Ability to have a flexible schedule,,1 week,Unlimited,Home,,Coffee shops,,Sometimes (Between one week and one month per year),Business owner,1,Everyone at my company works remotely,11 to 50,100%,Yes,No,Yes,Yes,mental health,Between $11 and $20,Between $1 and $100,"Over $200,000",no, no
1,Thailand,Financial Services,,Engineering,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Not being able to unplug,,Ability to have a flexible schedule,,3 weeks,Unlimited,Home,,Coffee shops,,Frequently (Between one and six months per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,101 to 500,1 to 25%,No,No,No,No,,More than $30,Not applicable,,I can't work onsite anymore.,
1,Thailand,Software,,Customer Support,,Professional level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Difficulties with collaboration and communication,,Flexibility to work from any location,,5 weeks,5 weeks,Home,,Company's office,,Frequently (Between one and six months per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,"More than 1,001",51 to 75%,No,No,No,No,No,Not applicable,Not applicable,"$100,000 to $125,000",I am more productive,No
1,Thailand,IT and Services,,Engineering,,Professional level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Being in a different timezone than teammates,,Flexibility to work from any location,,More than 6 weeks,More than 6 weeks,Coworking spaces,,Coffee shops,,Very frequently (More than six months of the year),Freelancer / Self-employed,,,,,,,,,,Between $20 and $30,Between $201 and $300,"Over $200,000",The amount of companies who are convinced it’s the answer. It works for some people In some companies in some industries. Not everyone.,"Considering this is the 4th? Year of this survey. I was expecting questions less leading and more open. You have your answers, this seems to just fit your agenda. "
1,Thailand,IT and Services,,Data,,,More than 4 years,,I am happy with the amount of time I work remotely.,1,1,Staying motivated,,Ability to work from home,,More than 6 weeks,Unlimited,Home,,Company's office,,Always,Freelancer / Self-employed,,,,,,,,,,Not applicable,Not applicable,"up to $25,000",,
1,Trinidad & Tobago,Software,,Engineering,,Professional level,1 year to 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to have a flexible schedule,,Less than 1 week,Unlimited,Home,,Coffee shops,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,11 to 50,1 to 25%,No,No,No,No,No,Between $11 and $20,Not applicable,"$25,001 to $50,000",How much more productive I am without sitting in an office for 8 hours,
1,Trinidad & Tobago,,Energy oil and gas,Operations,,Professional level,1 year to 4 years,26 to 50%,I am happy with the amount of time I work remotely.,1,1,Not being able to unplug,,Ability to spend time with family,,Less than 1 week,3 weeks,Company's office,,Coworking spaces,,Infrequently (Less than a week per year),Employee,,Everyone at my company works remotely,"More than 1,001",76 to 99%,Yes,Yes,No,No,No,Between $20 and $30,Between $201 and $300,"$25,001 to $50,000",Less stressed,No
1,Trinidad & Tobago,Media and Publishing,,Operations,,Entry level,1 year to 4 years,100%,I would like to work remotely more often.,1,1,Being in a different timezone than teammates,,Ability to spend time with family,,2 weeks,None,Home,,Not applicable,,Never,Freelancer / Self-employed,,,,,,,,,,Not applicable,Not applicable,"up to $25,000",The flexibility,Nope
1,Tunisia,Marketing,,Design,,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Not being able to unplug,,Not having to commute,,4 weeks,3 weeks,Home,,Coworking spaces,,Infrequently (Less than a week per year),Freelancer / Self-employed,,,,,,,,,,Not applicable,Between $101 and $200,"up to $25,000",the fact that what you do in 8 hours in an office can be done in 2 hours if you pick the right 2 hours and have the rest of the day to do whatever you want. This is especially because I'm in design and marketing so time isn't really the biggest factor. Energy and willingness to work are,"The learning curve. working remotely at first can be tough especially if you're trying to be an honest, productive person. I'd say that hourly rates don't make much sense in a remote environment that you can't control. Better charge for results not time because time will leave you either with unproductivity or guilt"
1,Turkey,Financial Services,,Engineering,,Professional level,6 months to 11 months,76 to 99%,I would like to work remotely more often.,1,1,Being in a different timezone than teammates,,Flexibility to work from any location,,5 weeks,4 weeks,Company's office,,Home,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,,Between $11 and $20,Between $301 and $400,"up to $25,000",Tge client will respect you more,No
1,Turkey,Software,,Engineering,,Senior level,1 year to 4 years,100%,I would like to work remotely more often.,1,1,Being in a different timezone than teammates,,Flexibility to work from any location,,More than 6 weeks,More than 6 weeks,Coworking spaces,,Home,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,,Not applicable,Between $1 and $100,"$75,001 to $100,000",How much you can do without getting interruptions,
1,Turkey,Media and Publishing,,Design,,Professional level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Flexibility to work from any location,,More than 6 weeks,Unlimited,Coffee shops,,Home,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,,Between $11 and $20,Not applicable,"$25,001 to $50,000",(￢‿￢ ) nothing,\-
1,Turkey,,Aviation,Data,,Professional level,Less than six months,100%,I would like to work remotely more often.,1,1,Being in a different timezone than teammates,,Ability to work from home,,2 weeks,2 weeks,Home,,Not applicable,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,,Between $20 and $30,Between $401 and $500,"up to $25,000",To be freelancer,I was born for freelancer
1,Turkey,Software,,Engineering,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Not being able to unplug,,Ability to spend time with family,,5 weeks,5 weeks,Home,,Coffee shops,,Almost all the time,Employee,,Everyone at my company works remotely,Fewer than 10,100%,No,No,No,No,,More than $30,Not applicable,"$50,001 to $75,000",flexibility,
1,Turkey,Software,,Data,,Senior level,6 months to 11 months,1 to 25%,I would like to work remotely more often.,1,1,Difficulties with collaboration and communication,,Ability to work from home,,Less than 1 week,2 weeks,Company's office,,Home,,Infrequently (Less than a week per year),Employee,,At my company we can work from home as needed,11 to 50,1 to 25%,No,No,No,No,,Not applicable,Not applicable,"up to $25,000",,
1,Turkey,Software,,Engineering,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to have a flexible schedule,,More than 6 weeks,More than 6 weeks,Coffee shops,,Home,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,,More than $30,Not applicable,"$75,001 to $100,000",\freedom,
1,Turkey,IT and Services,,Product,,Management level,6 months to 11 months,100%,I would like to work remotely more often.,1,1,Loneliness,,Ability to have a flexible schedule,,2 weeks,2 weeks,Home,,Home,,Frequently (Between one and six months per year),Employee,,Everyone at my company works remotely,101 to 500,100%,No,No,No,No,,More than $30,Between $401 and $500,"$75,001 to $100,000",You work more than 8 hours,
1,Turkey,Travel and Tourism,,Customer Support,,Management level,1 year to 4 years,51 to 75%,I would like to work remotely less often.,1,1,Distractions at home,,Flexibility to work from any location,,3 weeks,3 weeks,Home,,Coworking spaces,,Frequently (Between one and six months per year),Freelancer / Self-employed,,,,,,,,,,Between $1 and $5,Between $1 and $100,"up to $25,000",,
1,Turkey,Software,,Design,,Professional level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Ability to have a flexible schedule,,2 weeks,4 weeks,Home,,Coffee shops,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,11 to 50,100%,No,No,No,No,Nope,Not applicable,Not applicable,"$50,001 to $75,000",,"1. I don't think remote work is a life style for everyone because it requires lots of self responsibilities but I would totally recommend everyone at least to try.
2. Imho, partially remote working style does not work at all. Companies should either be going fully remote or complete office environment."
1,Turkey,E-commerce,,Engineering,,Professional level,6 months to 11 months,26 to 50%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Ability to have a flexible schedule,,1 week,2 weeks,Company's office,,Home,,Never,Employee,,I am a solo business or freelancer and work remotely,Fewer than 10,1 to 25%,No,No,No,No,,Not applicable,Not applicable,"up to $25,000",nothing has surprised me so far.,"No, thanks."
1,Turkey,E-commerce,,Engineering,,Professional level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Staying motivated,,Ability to work from home,,1 week,2 weeks,Home,,Not applicable,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,,Not applicable,Not applicable,"$50,001 to $75,000",Efficiency and ease of mind,
1,Uganda,Software,,Customer Support,,Management level,6 months to 11 months,1 to 25%,I would like to work remotely more often.,1,1,Being in a different timezone than teammates,,Flexibility to work from any location,,None,None,Coworking spaces,,Home,,Never,Employee,,At my company we can work remotely a certain number of days per week/month,Fewer than 10,1 to 25%,Yes,Yes,Yes,Yes,No,Between $5 and $10,Between $101 and $200,"up to $25,000",Working remotely helps me meeting deadlines,No
1,Ukraine,IT and Services,,Design,,Entry level,Less than six months,26 to 50%,I would like to work remotely more often.,1,1,Staying motivated,,Flexibility to work from any location,,None,4 weeks,Home,,Coworking spaces,,Never,Freelancer / Self-employed,,,,,,,,,,,,,,
1,Ukraine,Software,,Engineering,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,,"none, really",Ability to spend time with family,,None,None,Home,,,dive shops,Very frequently (More than six months of the year),Freelancer / Self-employed,,,,,,,,,,Not applicable,Not applicable,"$125,001 to $150,000",how most of the people can't do it,
1,Ukraine,E-commerce,,Engineering,,Professional level,More than 4 years,51 to 75%,I would like to work remotely less often.,1,1,Distractions at home,,Flexibility to work from any location,,4 weeks,4 weeks,Home,,Coffee shops,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,,Between $5 and $10,Between $1 and $100,"up to $25,000",unexpected amount of free time,
1,Ukraine,Marketing,,Product,,Management level,Less than six months,51 to 75%,I would like to work remotely less often.,1,0,Not being able to unplug,,Ability to have a flexible schedule,,3 weeks,3 weeks,Coffee shops,,Home,,Infrequently (Less than a week per year),Employee,,At my company we can work remotely a certain number of days per week/month,Just me,1 to 25%,No,No,No,No,no,Between $11 and $20,Between $201 and $300,"up to $25,000",na,no
1,Ukraine,Software,,Engineering,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Not being able to unplug,,Ability to have a flexible schedule,,2 weeks,4 weeks,Home,,Not applicable,,Frequently (Between one and six months per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,Fewer than 10,51 to 75%,No,No,No,No,no,Not applicable,Not applicable,"$50,001 to $75,000",nothing,no
1,Ukraine,Software,,Design,,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to have a flexible schedule,,2 weeks,3 weeks,Home,,Coffee shops,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,,Between $1 and $5,Not applicable,"$50,001 to $75,000",feeling of freedom,
1,Ukraine,IT and Services,,Product,,Management level,6 months to 11 months,100%,I would like to work remotely more often.,1,1,Not being able to unplug,,Flexibility to work from any location,,Less than 1 week,4 weeks,Home,,Coffee shops,,Never,Employee,,Part of the team is full-time remote and part of the team works out of the same office.,11 to 50,76 to 99%,No,No,No,No,,Between $20 and $30,Not applicable,"up to $25,000",,
1,Ukraine,Software,,Engineering,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Difficulties with collaboration and communication,,Ability to spend time with family,,3 weeks,None,Home,,Coworking spaces,,Sometimes (Between one week and one month per year),Employee,,I am a solo business or freelancer and work remotely,11 to 50,1 to 25%,No,No,No,No,no,More than $30,Between $101 and $200,"$50,001 to $75,000",freedom,no
1,Ukraine,Software,,Engineering,,Executive level,More than 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Not having to commute,,2 weeks,3 weeks,Home,,,Company Lab,Sometimes (Between one week and one month per year),Business owner,1,At my company we can work from home as needed,Fewer than 10,51 to 75%,No,No,No,No,no,Between $11 and $20,Not applicable,"$25,001 to $50,000",equal distance to any point of the world. You do not need to go anywhere to be connected to your colleagues or customers,most issue - is making good work place. feel lack of room + family suffers from space I take.
1,Ukraine,Software,,Leadership,,Senior level,Less than six months,1 to 25%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Flexibility to work from any location,,4 weeks,4 weeks,Home,,Company's office,,Sometimes (Between one week and one month per year),Employee,,At my company we can work from home as needed,51 to 100,1 to 25%,No,No,Yes,No,,Not applicable,Between $201 and $300,"$125,001 to $150,000",,
1,Ukraine,IT and Services,,Sales,,Executive level,More than 4 years,51 to 75%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Not having to commute,,None,None,Coffee shops,,Home,,Frequently (Between one and six months per year),Business owner,1,Part of the team is full-time remote and part of the team works out of the same office.,Just me,100%,No,No,,No,,Between $20 and $30,Not applicable,"up to $25,000",,
1,Ukraine,Software,,Engineering,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Not being able to unplug,,Ability to have a flexible schedule,,2 weeks,4 weeks,Home,,Home,,Infrequently (Less than a week per year),Freelancer / Self-employed,,,,,,,,,,Not applicable,Not applicable,"$25,001 to $50,000",Remote job is still often considered as a freelance job,
1,Ukraine,IT and Services,,Engineering,,Professional level,1 year to 4 years,100%,I would like to work remotely more often.,1,1,Staying motivated,,Ability to work from home,,2 weeks,2 weeks,Home,,Home,,Never,Freelancer / Self-employed,,,,,,,,,,Between $20 and $30,Between $101 and $200,"$25,001 to $50,000",none,\-
1,Ukraine,Software,,Engineering,,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Staying motivated,,Ability to have a flexible schedule,,1 week,4 weeks,Home,,Not applicable,,Never,Employee,,At my company we can work from home as needed,101 to 500,1 to 25%,No,No,No,No,,Not applicable,Not applicable,"$50,001 to $75,000",,
1,Ukraine,Software,,Marketing and Advertising,,Professional level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Finding reliable wifi,,Flexibility to work from any location,,5 weeks,5 weeks,Home,,Not applicable,,Frequently (Between one and six months per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,51 to 100,51 to 75%,No,No,Yes,No,no,Not applicable,Not applicable,"up to $25,000",The high level of my own motivation (after being an office worker for over 10 years) as well as the amount of working time (I work more than in the office),Just hope that remote work tendency will develop in the next years: currently it's not that easy to find an international remote job opportunity
1,Ukraine,Marketing,,Marketing and Advertising,,Professional level,More than 4 years,100%,I am happy with the amount of time I work remotely.,0,1,Taking vacation time,,Ability to have a flexible schedule,,3 weeks,4 weeks,Home,,Company's office,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,11 to 50,1 to 25%,No,No,Partially,No,,Not applicable,Not applicable,"up to $25,000",,
1,Ukraine,IT and Services,,Marketing and Advertising,,Executive level,More than 4 years,26 to 50%,I would like to work remotely more often.,1,1,Not being able to unplug,,Ability to have a flexible schedule,,2 weeks,2 weeks,Home,,Coworking spaces,,Sometimes (Between one week and one month per year),Employee,,At my company we can work from home as needed,Fewer than 10,100%,No,No,No,No,no,Between $5 and $10,Between $1 and $100,"$25,001 to $50,000",,
1,Ukraine,IT and Services,,Product,,Senior level,6 months to 11 months,51 to 75%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Flexibility to work from any location,,5 weeks,5 weeks,Home,,Company's office,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,51 to 100,26 to 50%,No,No,No,No,"hardware: macbook, monitor",Not applicable,Not applicable,"$50,001 to $75,000",saving so much time (no road to work time); distractions by home things,
1,Ukraine,IT and Services,,Marketing and Advertising,,Senior level,6 months to 11 months,100%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Ability to spend time with family,,3 weeks,5 weeks,Home,,Company's office,,Infrequently (Less than a week per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,51 to 100,26 to 50%,No,No,No,No,We have 2 offices in different countries and the company covers flights and apartments if I want to work from one of the them.,Between $5 and $10,Not applicable,"$25,001 to $50,000",That typical myths and fears about working remotely just do not exist.,If I ever change a job the remote will be #1 requirement. At least partial remote. I would never coming back to 5/40 at office.
1,Ukraine,IT and Services,,Engineering,,Professional level,More than 4 years,76 to 99%,I would like to work remotely less often.,1,1,Loneliness,,Ability to have a flexible schedule,,3 weeks,More than 6 weeks,Home,,Company's office,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,11 to 50,26 to 50%,No,No,No,No,,Not applicable,Not applicable,"$25,001 to $50,000",,
1,Ukraine,IT and Services,,Engineering,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Ability to spend time with family,,3 weeks,5 weeks,Home,,Coffee shops,,Infrequently (Less than a week per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,51 to 100,26 to 50%,No,No,Yes,No,,Between $1 and $5,Not applicable,"$25,001 to $50,000",,
1,Ukraine,IT and Services,,Engineering,,Professional level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Staying motivated,,Ability to work from home,,5 weeks,5 weeks,Home,,Not applicable,,Infrequently (Less than a week per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,51 to 100,26 to 50%,No,No,No,No,\-,Not applicable,Not applicable,"$25,001 to $50,000",amount of discipline required to manage the time and not spread work across whole day,
1,Ukraine,Software,,Engineering,,Professional level,More than 4 years,51 to 75%,I would like to work remotely more often.,1,1,Staying motivated,,Flexibility to work from any location,,3 weeks,3 weeks,Coworking spaces,,Company's office,,Never,Freelancer / Self-employed,,,,,,,,,,Between $20 and $30,Between $101 and $200,"up to $25,000",People,No
1,Ukraine,IT and Services,,Engineering,,Professional level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Finding reliable wifi,,Flexibility to work from any location,,3 weeks,4 weeks,Home,,Coffee shops,,Frequently (Between one and six months per year),Employee,,Everyone at my company works remotely,101 to 500,100%,Yes,Yes,Yes,Yes,home office set up,Between $11 and $20,Not applicable,"$125,001 to $150,000",,
1,Ukraine,,Translation and localization,Data,,Professional level,1 year to 4 years,26 to 50%,I am happy with the amount of time I work remotely.,1,1,Staying motivated,,Ability to have a flexible schedule,,2 weeks,2 weeks,Home,,Not applicable,,Infrequently (Less than a week per year),Employee,,Everyone at my company works remotely,11 to 50,100%,No,No,No,No,,Not applicable,Not applicable,"up to $25,000",,
1,Ukraine,Marketing,,Marketing and Advertising,,Professional level,6 months to 11 months,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Staying motivated,,Ability to have a flexible schedule,,2 weeks,3 weeks,Home,,Coworking spaces,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,,Between $11 and $20,Between $101 and $200,"$25,001 to $50,000",Need to schedule time and tasks,No
1,Ukraine,IT and Services,,Engineering,,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Not being able to unplug,,Flexibility to work from any location,,Less than 1 week,Unlimited,Home,,Coffee shops,,Almost all the time,Employee,,Everyone at my company works remotely,Fewer than 10,100%,No,No,No,No,no,More than $30,Between $101 and $200,"$50,001 to $75,000",It's quite often hard to stop working,No
1,Ukraine,Software,,Engineering,,Management level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Ability to have a flexible schedule,,None,None,Home,,Coworking spaces,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,,Between $1 and $5,Between $1 and $100,"$50,001 to $75,000",it is interesting,
1,Ukraine,IT and Services,,Engineering,,Professional level,Less than six months,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Flexibility to work from any location,,2 weeks,3 weeks,Home,,Coffee shops,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,11 to 50,1 to 25%,No,No,No,Yes,idk,Between $11 and $20,Not applicable,"$50,001 to $75,000",flexible work time and location,no
1,Ukraine,IT and Services,,Engineering,,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Being in a different timezone than teammates,,Not having to commute,,Less than 1 week,5 weeks,Home,,Coffee shops,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,101 to 500,26 to 50%,No,No,Yes,No,,Between $5 and $10,Not applicable,"$75,001 to $100,000",,
1,Ukraine,Software,,Engineering,,Senior level,Less than six months,100%,I am happy with the amount of time I work remotely.,1,1,Finding reliable wifi,,Ability to spend time with family,,6 weeks,6 weeks,Home,,Coworking spaces,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,11 to 50,100%,No,No,Yes,No,,Between $20 and $30,Between $101 and $200,"$50,001 to $75,000",How much time I can spend with my loved once,
1,Ukraine,Software,,Engineering,,Professional level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Not being able to unplug,,Ability to have a flexible schedule,,2 weeks,4 weeks,Home,,Not applicable,,Frequently (Between one and six months per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,Fewer than 10,51 to 75%,No,No,No,No,no,Not applicable,Not applicable,"$50,001 to $75,000",nothing,n/a
1,Ukraine,Software,,Engineering,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Not being able to unplug,,Ability to spend time with family,,5 weeks,5 weeks,Home,,Coffee shops,,Almost all the time,Employee,,Part of the team is full-time remote and part of the team works out of the same office.,Fewer than 10,1 to 25%,No,No,No,No,No,Between $20 and $30,Not applicable,"$50,001 to $75,000",Didn't expect such feel if freedom before,
1,Ukraine,IT and Services,,Engineering,,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Being in a different timezone than teammates,,Flexibility to work from any location,,3 weeks,4 weeks,,Personal office,Coffee shops,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,"501 to 1,000",51 to 75%,No,No,No,No,No,More than $30,Between $1 and $100,"$50,001 to $75,000",Flexibility,Nope
1,Ukraine,IT and Services,,Product,,Management level,1 year to 4 years,26 to 50%,I am happy with the amount of time I work remotely.,1,1,Being in a different timezone than teammates,,Ability to spend time with family,,None,4 weeks,Coworking spaces,,Home,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,11 to 50,100%,No,No,No,Yes,lunch,Between $11 and $20,Not applicable,"$25,001 to $50,000",ability to communicate,
1,Ukraine,IT and Services,,Engineering,,Senior level,1 year to 4 years,100%,I would like to work remotely less often.,0,0,Difficulties with collaboration and communication,,Flexibility to work from any location,,4 weeks,None,Home,,Coworking spaces,,Frequently (Between one and six months per year),Freelancer / Self-employed,,,,,,,,,,Between $20 and $30,Between $101 and $200,"$50,001 to $75,000",,
1,Ukraine,IT and Services,,Engineering,,Senior level,More than 4 years,76 to 99%,I would like to work remotely more often.,1,1,Difficulties with collaboration and communication,,Ability to work from home,,1 week,2 weeks,Home,,Libraries,,Infrequently (Less than a week per year),Freelancer / Self-employed,,,,,,,,,,Between $20 and $30,Between $101 and $200,"$125,001 to $150,000","around 1 year ago, I was working with Denmark client. 3 months after the project started, The client suddenly disappeared. I was very suprised. At that time, I nearly finished his project and already provide all my codebase to him. That day was nightmare to me.",Is it full-time job or part-time job?
1,Ukraine,IT and Services,,Leadership,,Executive level,Less than six months,26 to 50%,I would like to work remotely more often.,1,1,Difficulties with collaboration and communication,,Ability to spend time with family,,2 weeks,3 weeks,Company's office,,Coffee shops,,Sometimes (Between one week and one month per year),Employee,,At my company we can work from home as needed,11 to 50,1 to 25%,No,No,No,No,No,Between $11 and $20,Not applicable,"$25,001 to $50,000",It's not stressful,"I wish everyone could go remote! Try remoteworkukraine.com in couple weeks, I'm polishing it out for everyone wanting to hire Ukrainians!"
1,Ukraine,Software,,Engineering,,Management level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Staying motivated,,Flexibility to work from any location,,6 weeks,None,Home,,Coworking spaces,,Sometimes (Between one week and one month per year),Business owner,1,Part of the team is full-time remote and part of the team works out of the same office.,Fewer than 10,100%,No,No,No,No,no,Not applicable,Between $1 and $100,"$50,001 to $75,000",every day,nope
1,Ukraine,IT and Services,,Engineering,,Professional level,1 year to 4 years,26 to 50%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Ability to have a flexible schedule,,4 weeks,4 weeks,Company's office,,Home,,Infrequently (Less than a week per year),Employee,,At my company we can work from home as needed,51 to 100,1 to 25%,No,No,No,No,,Not applicable,Not applicable,"up to $25,000",,
1,Ukraine,Software,,Marketing and Advertising,,Professional level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Not being able to unplug,,Not having to commute,,2 weeks,3 weeks,Home,,Not applicable,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,51 to 100,76 to 99%,No,No,No,No,no,Not applicable,Not applicable,"up to $25,000",,
1,United Arab Emirates,,Civil engineer,Sales,,Entry level,Less than six months,1 to 25%,I would like to work remotely more often.,1,1,Difficulties with collaboration and communication,,Flexibility to work from any location,,None,Less than 1 week,Home,,Home,,Never,Freelancer / Self-employed,,,,,,,,,,Between $5 and $10,Between $101 and $200,"up to $25,000",I can get my needs,Thanks
